MeanTemperatureofWarmestQuarter,SoilTypeWRB,BulkDensity,SoilOrganicCarbon,Season_sin,SoilTextureUSDA,AnnualPrecipitation,UpperD_m,Longitude,MeanTemperatureofDriestQuarter,SiltContent,AnnualMeanTemperature,PrecipitationofDriestQuarter,AverageAridityIndex
17.08333396911621,1.2621258000467888,0.82,0.059,0.8660254037844387,1.2621258000467888,397.0,0.0,-106.0,-12.43333339691162,0.38,2.020833253860474,45.0,0.0413
17.08333396911621,1.4811166903917603,0.81,0.052,0.8660254037844387,1.4811166903917603,397.0,0.0,-106.0,-12.43333339691162,0.39,2.020833253860474,45.0,0.0413
17.08333396911621,1.542316004894806,1.11,0.036,0.8660254037844387,1.542316004894806,397.0,0.0,-106.0,-12.43333339691162,0.34,2.020833253860474,45.0,0.0413
22.26666641235352,1.2621258000467888,1.3362275305599993,0.073256,0.0,1.2621258000467888,692.0,0.005,-8.5,21.98333358764648,0.279,16.46249961853027,32.0,0.0458
22.26666641235352,1.544668483151566,1.3089546210399996,0.073256,0.0,1.544668483151566,692.0,0.005,-8.5,21.98333358764648,0.279,16.46249961853027,32.0,0.0458
22.26666641235352,1.5638459544432528,1.2549047188300002,0.073256,0.8660254037844387,1.5638459544432528,692.0,0.005,-8.5,21.98333358764648,0.279,16.46249961853027,32.0,0.0458
22.26666641235352,1.553363917154949,1.25650471883,0.073256,0.8660254037844387,1.553363917154949,692.0,0.005,-8.5,21.98333358764648,0.279,16.46249961853027,32.0,0.0458
22.26666641235352,1.5472163335679203,1.25188491443,0.073256,0.8660254037844387,1.5472163335679203,692.0,0.005,-8.5,21.98333358764648,0.279,16.46249961853027,32.0,0.0458
22.26666641235352,1.5824043643002728,1.2293767481699998,0.073256,0.0,1.5824043643002728,692.0,0.005,-8.5,21.98333358764648,0.279,16.46249961853027,32.0,0.0458
22.26666641235352,1.5440183286747309,1.2291867481699996,0.073256,0.0,1.5440183286747309,692.0,0.005,-8.5,21.98333358764648,0.279,16.46249961853027,32.0,0.0458
22.26666641235352,1.5094183428268466,1.24707674817,0.073256,0.8660254037844387,1.5094183428268466,692.0,0.005,-8.5,21.98333358764648,0.279,16.46249961853027,32.0,0.0458
22.26666641235352,1.4979292299438827,1.2533867481699998,0.073256,0.8660254037844387,1.4979292299438827,692.0,0.005,-8.5,21.98333358764648,0.279,16.46249961853027,32.0,0.0458
22.26666641235352,1.4906133342662393,1.2502867481699997,0.073256,0.8660254037844387,1.4906133342662393,692.0,0.005,-8.5,21.98333358764648,0.279,16.46249961853027,32.0,0.0458
25.45000076293945,1.2621258000467888,1.42,0.0062209,-0.01732050807568883,1.449586040493226,303.0,0.0,-1.0,25.26666641235352,0.4292,17.8791675567627,31.0,0.0177
25.45000076293945,1.5407779743449135,1.36,0.0062209,-0.008660254037844452,1.5235548621231882,303.0,0.0,-1.0,25.26666641235352,0.4292,17.8791675567627,31.0,0.0177
