AverageAridityIndex,Longitude,AnnualPrecipitation,MeanTemperatureofDriestQuarter,MeanDiurnalRange,Method,BulkDensity,SoilOrganicCarbon,SoilTextureUSDA,SoilTypeWRB,MeanTemperatureofWarmestQuarter,PrecipitationofDriestQuarter
0.0412388026245593,0.029384056182827183,0.020043248071231708,-0.11888356865313203,0.14086378865463983,0.062149026158248306,0.24384577177642464,-0.006511877230053237,-0.05790030686643165,0.09459078778389132,-0.011971282661819994,-0.027094885124409947
0.039888476595208555,0.020775616700345573,0.014375892193156168,-0.10071106644956304,0.14205088491907517,0.05912684387930095,0.24271039764335098,-0.006120384292587277,-0.025108682205765617,0.017103349738107548,-0.011971282661819994,-0.0312834943526357
0.0251441586545379,0.020842193985828598,-0.0029928417229902428,-0.09820912134484469,0.14713620765399002,0.001082578366325918,0.037045345369100036,-0.010956484943504529,-0.0023812353290167624,-0.09672259650554457,-0.034471369264274535,-0.044857323063845794
-0.004425240480549969,0.06933594823810452,0.004365514522633691,0.2545047893083353,-0.08079989353913306,0.06265736370956192,0.08159203586670787,-0.013962067475447823,-0.045624543730075025,0.12374800743361403,0.05772252455106728,-0.030149304792944285
-0.009460365007078612,0.05372471074503634,0.008949793069710329,0.21838801734871185,-0.08207079146658056,-0.013411297934328081,0.05690684670011301,-0.019404118001383284,0.12600161772701834,-0.08597191725634715,0.05022452216513816,-0.034838384120062356
-0.003509949814111575,0.04789290846974211,0.006127498768075408,0.21665654808189488,-0.08179539890793247,-0.05613755069640909,0.016319739608450866,-0.01976173736528172,0.12548854768901854,-0.04434940408464637,0.04351084522503236,-0.03159935264938683
-0.003509949814111575,0.04818519834794264,0.005999683499967427,0.2170691782484297,-0.08179539890793247,-0.056420154649996446,0.0213725881861162,-0.019553936434819296,0.12153413665566273,-0.04621035498365189,0.04370657997683797,-0.03153487579999883
-0.001332243940210088,0.04623472028541233,0.011010266546287343,0.2315252851970177,-0.07413448098438338,-0.019787855460110127,0.048826468427868086,-0.012842343239253906,0.12814761058507904,-0.0904451188249203,0.04513839717060748,-0.03490286096945036
-0.003509949814111575,0.04623472028541233,0.006127498768075408,0.21665654808189488,-0.08179539890793247,-0.05613755069640909,0.01774589463388131,-0.01976173736528172,0.12548854768901854,-0.04411737092574697,0.04351084522503236,-0.03159935264938683
-0.001332243940210088,0.04623472028541233,0.011010266546287343,0.21703866006786576,-0.08215842959841607,-0.019787855460110127,0.017089539685358146,-0.012842343239253906,0.12814761058507904,-0.0904451188249203,0.04513839717060748,-0.03490286096945036
-0.0011527664223609244,0.053118238256055016,0.01242274406752927,0.2346818404988277,-0.07428365394300196,-0.013924945210954097,0.05177090604050616,-0.011269272087570363,-0.015369627113255919,-0.09240415823020225,0.04882746403575192,-0.03490286096945036
-0.0011527664223609244,0.05417992076200538,0.01242274406752927,0.22650934409683846,-0.0733001043512671,-0.010849422132481783,0.06796059702086953,-0.010426291770153695,-0.013692083607503125,-0.08981682084126831,0.04942496085411192,-0.03490286096945036
0.002138285236000431,0.05336718261918877,0.014389740816867655,0.23669085799389017,-0.07054282341464983,0.056742067564966525,0.0768500592373436,-0.011485156194089245,-0.004993431336390413,0.03241264870936326,0.05304125395691787,-0.03609792203522783
0.19576522918189282,0.09974869523155551,0.06618958443365089,0.22731244326771918,-0.15332340032149952,0.09348742340477433,-0.09821292261570087,0.0913849348627503,-0.014568715811927696,0.13015793506149742,-0.01557180130267271,-0.02502536274003144
0.1975945295563824,0.09156086109133466,0.07589171684475497,0.27145689508629,-0.12157625842215117,0.037482760353874364,0.0468200266742167,0.07746611114327724,0.005392821217145797,-0.06995261240036336,-0.014964203510453834,-0.025930987036759764
-0.09571921728609618,0.0643949461817737,-0.10473115977332509,-0.15061469160461644,-0.165762513275386,-0.00689259904220434,0.01424804673641322,-0.0013087863734383043,-0.09467647967698853,0.10698135142074951,-0.041728436497464834,0.01413663966020851
-0.07088958618862178,0.0651270456355059,-0.08419880638254816,-0.11561940206410833,-0.15477345801746936,0.019636451910672155,0.04448353185690986,-0.025617443881651814,0.0156891659779367,-0.08167398308690296,-0.03210809688011728,0.010742393568571736
-0.06513660305510635,0.06572672818142106,-0.08270411808842322,-0.1289760477143692,-0.17053755185779942,0.02249621722512528,0.03358643902114997,-0.03649461699662798,-0.09266547354400528,-0.06753556749397932,-0.02999504304955274,0.009133751386132288
-0.08535476557179761,0.07068751802288731,-0.0842652858614164,-0.10931056641116149,-0.17981155577396254,0.035939642633282726,-0.03520769983520316,-0.008311250059398218,-0.040897452851985434,-0.020992582718456155,-0.02475954091066833,0.011166709177094194
-0.0836165074206828,0.06848486799910875,-0.08915440608235424,-0.10559051656922465,-0.18486298993302722,0.03656319463213939,-0.09391999254759309,-0.01169243257485676,-0.042556384414443156,-0.023039452661784355,-0.024518619788270447,0.009418346292608668
-0.0933577057471081,0.05608380513765194,-0.07689008838779487,-0.15713340149618174,-0.21324407925970235,0.04859496956509728,-0.01497467693713749,-0.02923670092191192,0.14814890272150444,-0.03320849006091475,-0.013599656216830801,0.010295557061283102
