SoilTypeWRB,Method,BulkDensity,AverageAridityIndex,AnnualPrecipitation,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,Longitude,MeanDiurnalRange
0.045333981671454554,0.019747641410129312,0.0968539187885391,-0.002898535759776767,-0.0018001081459354802,-0.17609725397924256,0.022016211823812394,0.08008376746439952,0.25055786931099944
0.025789853567566644,-0.04949331434281467,0.10227072275748952,-0.006221426886840415,-0.010663704229530314,-0.16319667108531052,0.0036264022814498148,0.0764814476497508,0.24677272027823496
-0.02066385863524488,-0.048384959921900325,0.021144759482546762,-0.008484150220989419,-0.01579193011914347,-0.17321468534861592,-0.0001169095876234299,0.06965615204735531,0.24907728932730375
0.05301018139317309,0.02491192718760697,0.0733488542959515,-0.015768893382840207,-0.007257279030443702,0.2558633253152257,0.02927610782231965,0.07635725870534349,-0.07159647733409634
0.04442115049783386,-0.07101211123349595,0.0375925899825899,-0.021300067058907184,0.0007374763888727926,0.2532445748856129,-0.002790817435205737,0.06781509458303965,-0.06998130132339726
0.04452606758296047,-0.07082241997059943,0.0443584276303815,-0.021300067058907184,0.00031839786001104127,0.25337594798796126,-0.002790817435205737,0.06781509458303965,-0.06998130132339726
0.04442115049783386,-0.0729529361301789,0.03710499357997497,-0.021300067058907184,0.0007374763888727926,0.2532445748856129,-0.002790817435205737,0.06781509458303965,-0.06998130132339726
0.04452606758296047,-0.07082241997059943,0.0443584276303815,-0.021300067058907184,0.00031839786001104127,0.25337594798796126,-0.002790817435205737,0.06781509458303965,-0.06998130132339726
0.04452606758296047,-0.07082241997059943,0.0443584276303815,-0.021300067058907184,0.00031839786001104127,0.25337594798796126,-0.002790817435205737,0.06781509458303965,-0.06998130132339726
0.04425628067134541,-0.07279553503568723,0.038849130826072824,-0.021300067058907184,0.00012597367459910025,0.2586783972719603,-0.002790817435205737,0.06634626259994658,-0.06998130132339726
0.02464028074576252,-0.07704131227897375,0.03773559531404085,-0.021300067058907184,0.00032570071267633017,0.25870794389893687,-0.0004334237205142807,0.06634626259994658,-0.06998130132339726
0.02464028074576252,-0.07704131227897375,0.03773559531404085,-0.021300067058907184,0.00032570071267633017,0.25870794389893687,-0.0004334237205142807,0.06634626259994658,-0.06998130132339726
0.024550753105869356,-0.06907732817761489,0.04016449592016038,-0.021300067058907184,0.0006833079753410757,0.2595492956334751,-0.0004334237205142807,0.06634626259994658,-0.06998130132339726
0.044574966697100746,0.059772859845919284,-0.048732561180981675,0.20424260621447854,0.06886869223372355,0.13292174843830057,0.11234608162590036,0.13095071355874524,-0.14731628452078305
0.001989641893096735,0.025373813170432025,-0.05844340859083803,0.2166680407372652,0.056735484830009335,0.17634525781533855,0.11039495847694289,0.13011980910417423,-0.1461733349892312
0.07168136713545249,-0.07157528889620386,0.01393347646050789,-0.09673078397211811,-0.12457845879531022,-0.12647138471470398,-0.09528281518359288,0.10796062908476627,-0.18443963661737506
-0.027155830929054593,-0.05694772381701521,0.06284010351071764,-0.09655119802354571,-0.1162433828193118,-0.11524887778430695,-0.08423327232654133,0.10708451254873419,-0.17114618209264096
-0.1027476572873682,0.012030804612852657,0.08328395528669635,-0.09368156730099239,-0.11845066042055383,-0.121902888180799,-0.09134759959755281,0.10528486120431353,-0.18043994689687337
-0.10350666429736902,0.012165440794768516,0.07251336603652271,-0.09368156730099239,-0.12072567693357614,-0.13028130374167513,-0.11855943311867018,0.10528486120431353,-0.1926337356767045
-0.10618932157428881,0.014462012648906456,-0.05486790587781725,-0.0936236138780198,-0.11928643977985906,-0.1343768281876097,-0.11795807975402092,0.09935828926419234,-0.22468270106560276
-0.08949224533066122,0.007936375287723695,0.07375112280009742,-0.09281572006922384,-0.10520684425253747,-0.12255821351298617,0.04420976259648607,0.13127781828931143,-0.19731795045794853
-0.0829584054021319,-0.016262275402698485,-0.06656129470384115,-0.09139276947851317,-0.10568697544486745,-0.1265957021657333,0.05083187938515514,0.12637297198477712,-0.22813022166632432
0.07128814367457656,0.01782039968382528,0.0570611886279129,0.2152967802389208,-0.04985306310987631,-0.051088532644818156,0.04664962513974624,0.10287185841562689,0.326683549393051
0.005229567507949072,0.1472703894771689,-0.01937721831897229,0.19866692976542924,-0.08292817734003886,-0.049815327367276736,-0.20843737316168356,0.08824051001679295,0.214985927176316
0.025812042736522434,0.11222043947289449,0.011663795253445432,0.18923688002509464,-0.058994406359218474,-0.05843145809239333,-0.13729919409128022,0.08188445059588255,0.21283952125293376
