Method,Longitude,AnnualPrecipitation,MeanTemperatureofDriestQuarter,MeanDiurnalRange,AverageAridityIndex,SoilTypeWRB,SoilOrganicCarbon,BulkDensity
0.02016755354615432,0.06609770406122512,0.03891748174510758,-0.16093694970230193,0.17678664202342023,0.00908109988782764,0.07915186941449633,-0.0020178422253145437,0.09023857288152315
-0.01198768223150658,0.06805977245477937,0.035379273152326654,-0.15785465132476376,0.16863950010453435,0.009352915190904578,0.04872804744544839,-0.008302489741498836,0.07677490405300069
-0.02002300476093113,0.06414965018300263,0.03256272368232666,-0.15481079387618582,0.170428435722355,0.0009846141863468763,-0.037649238722865026,-0.018659263945372075,0.054830717193678505
-0.006596781834989882,0.050962725495239246,-0.004058694292871543,0.21517604865051013,-0.056452322398306554,-0.004820622515760443,0.08695576098287436,0.05770368174639961,0.06457142843174668
-0.05850790338017618,0.059121996637383316,-0.003163513045074585,0.21055256559566154,-0.048196942421676374,-0.013565184332367596,0.0176879679370837,0.021214080549493024,0.0415766149011228
-0.05841336591523907,0.059121996637383316,-0.003163513045074585,0.21133621767852354,-0.048196942421676374,-0.013565184332367596,0.0176879679370837,0.021214080549493024,0.04455469624061046
-0.05850790338017618,0.059121996637383316,-0.003163513045074585,0.21055256559566154,-0.048196942421676374,-0.013565184332367596,0.0176879679370837,0.021214080549493024,0.0415766149011228
-0.05841336591523907,0.059121996637383316,-0.003163513045074585,0.21133621767852354,-0.048196942421676374,-0.013565184332367596,0.0176879679370837,0.021214080549493024,0.04455469624061046
-0.05841336591523907,0.059121996637383316,-0.003163513045074585,0.21133621767852354,-0.048196942421676374,-0.013565184332367596,0.0176879679370837,0.021214080549493024,0.04455469624061046
-0.05792818587636032,0.059121996637383316,-0.003254438752865537,0.21164618644210234,-0.048196942421676374,-0.013565184332367596,0.013484770312827273,0.021214080549493024,0.04805367077020025
-0.05991981510778971,0.059121996637383316,-0.0020498796436636993,0.21257328973518333,-0.048196942421676374,-0.013565184332367596,-0.0036525257658642763,0.029266140194051757,0.0533991746354884
-0.05991981510778971,0.059121996637383316,-0.0020498796436636993,0.21257328973518333,-0.048196942421676374,-0.013565184332367596,-0.0036525257658642763,0.029266140194051757,0.0533991746354884
-0.037474336104648814,0.059121996637383316,0.0005160913392473501,0.21641942863426206,-0.048196942421676374,-0.013565184332367596,-0.0036525257658642763,0.04016245175375161,0.05306864289272662
0.04991071059214091,0.1408957530119795,0.13176927702082006,0.10936306139168633,-0.1891960605738077,0.1372136728254907,0.050725677845537234,0.1411829515758683,-0.06481448008707073
0.034133546181777843,0.14440681088495072,0.11895873672524017,0.13754258225720215,-0.19858123430296667,0.1310270535537466,-0.019129630804560267,0.15192510395429232,-0.05368594745492132
-0.07265765593187383,0.137571473055735,-0.1255570673733008,-0.1285360460538762,-0.18856751491227317,-0.10340810532561316,0.0937646254032903,-0.08809881218625654,0.025321999845708418
-0.05317080160622045,0.1327327393414316,-0.1179625050458182,-0.12895903648108237,-0.18727990267056674,-0.09688680540146587,-0.05028033575436466,-0.11248600286688838,0.058649764375344075
-0.03530700377184017,0.1323826637103313,-0.11769293692284537,-0.13798491263703397,-0.193448300319873,-0.0931503822724168,-0.11529658205431251,-0.11519840782737821,0.08740545386912309
-0.03530700377184017,0.12687084381469865,-0.11769293692284537,-0.11416451085872077,-0.20886853803633984,-0.0931503822724168,-0.11529658205431251,-0.1108239016487288,0.0343449424787642
-0.03747716539841182,0.1305087255476135,-0.1107190751932115,-0.13745458830936683,-0.22426987383619731,-0.0929728076666454,-0.11476310653873588,-0.10795971692428888,-0.03309770464859143
-0.06320756429732176,0.15036375003962837,-0.11402379449770965,-0.09344259589252706,-0.20641804254461324,-0.08450027728802671,-0.09981349625407478,0.059397473523695773,0.05577397681884919
-0.06663467500540468,0.1514900204498778,-0.10704993276807578,-0.12380908886247834,-0.22941930952210873,-0.08432270268225531,-0.09961284357878054,0.06459486631357955,-0.03768463923472843
0.0015289500607500845,0.0934823948816966,-0.007202083684876063,-0.050529836379078936,0.32320399005672673,0.16364741904307126,0.09181329344565903,0.04691642830647526,0.06894282286117163
0.0629550493699379,0.07947509647170693,-0.020005131281899687,-0.055745222168551566,0.2162296560762858,0.13933920506404396,-0.0035592422601577506,-0.21113045519013318,-0.024881620119599542
0.04462465522216011,0.0788852976104267,-0.04002056795168788,-0.05623099723564944,0.22189153957158195,0.14251380436311883,0.15954292082203553,-0.14072898129151185,0.022518237597999327
-0.02824224470491263,0.09247237280600058,-0.016500322634585497,-0.056042719113435294,0.31105064020497475,0.15788092495108336,-0.002263988453262834,0.05029606092594358,0.04188677617002227
