Method,BulkDensity,Longitude,AnnualPrecipitation,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,MeanDiurnalRange,SoilTypeWRB,MeanTemperatureofWarmestQuarter,AverageAridityIndex,SoilTextureUSDA
0.056278527013507475,0.24567385572995348,0.0013379173082195511,0.03110147328217062,-0.12509580462754738,-0.008410303356240567,0.1328485100755725,0.09294895582220523,-0.027113878071067334,0.03829159008453735,-0.046252962730733184
0.06062937769517423,0.23134034540645526,-0.005760351877092057,0.02837212988911148,-0.11044716747551427,-0.010426993697552091,0.1377886649203323,0.02572423538942225,-0.02606684698402578,0.03804396804961956,-0.024425664484091374
-0.019685778473825865,0.04225653927266138,-0.007504505762509817,0.011370988453459277,-0.10725788360605522,-0.00262595295463515,0.13306575963826914,-0.07856242966649181,-0.06168365490404323,0.011255270730037755,-0.004705399932624028
0.06919824574897782,0.07711532465036622,0.08674197392118232,0.005994691892513191,0.246349799727399,-0.010311912229838375,-0.07999566713172065,0.09928619089274908,0.026601280187646213,-0.009957433379553082,-0.045359399967938946
-0.011569234506686196,0.06898176334022062,0.06581731885601085,-0.0004571990775062253,0.22419035023768907,-0.023544253472565616,-0.07937385646066777,-0.08029544109217758,0.01929852771412,-0.011806557983438146,0.10555097787271582
-0.04165942835488671,0.024664902139024513,0.0554791979121594,-0.004251288427330779,0.22568030834157632,-0.027273883840412457,-0.08330393453539033,-0.04426391360971706,0.02247880792251173,-0.004766222647294657,0.11132526508598571
-0.04158460841373792,0.02604641216926585,0.05568491334406764,-0.004251288427330779,0.22568030834157632,-0.02701651925169579,-0.08306601324835956,-0.046990990365073954,0.02247880792251173,-0.0044021926028918095,0.11153098051789397
-0.017009958790629904,0.05549856626308944,0.05398006298015995,-0.0009816949268816233,0.23803552018266244,-0.020917230345086874,-0.07510440724599994,-0.08510482457947527,0.01869202181304274,-0.004274743879950769,0.11184460249259058
-0.041430203148024765,0.024507734990065148,0.05382100972782962,-0.004251288427330779,0.22585258611098985,-0.026754546433807588,-0.08330393453539033,-0.043822978457302326,0.022453416618077246,-0.004806588951470973,0.11184460249259058
-0.014727031853669616,0.024235901525082846,0.05398006298015995,-0.0009816949268816233,0.2235488950535105,-0.020447166163366285,-0.08312835586003263,-0.07967474512508685,0.01869202181304274,-0.004274743879950769,0.11322509067282917
-0.0025262442107284156,0.056860629427643083,0.06292251973610144,0.002270148087568218,0.23917855759734907,-0.018615967052714667,-0.07526796110630406,-0.08531956563741674,0.022301018825167534,-0.004274743879950769,-0.020821111372854157
-0.0036023510340642507,0.056151121508943684,0.06380325433472993,0.002270148087568218,0.23100606119535982,-0.01884824080273541,-0.0737257036724128,-0.0909547151830529,0.022301018825167534,-0.004274743879950769,-0.019552168890586964
0.07166282601196923,0.07513520816157157,0.0652884826149401,0.006978147705140875,0.23759604862758626,-0.013939667096305893,-0.0715501432481886,0.0302107136489949,0.02492786101155709,-0.0022757060459013927,-0.0154863266359351
0.12534366525091828,-0.1158324114116252,0.11184166053891263,0.0693222209001457,0.2124896765063912,0.08474831868453583,-0.16175301057894276,0.10933199999840189,-0.005243047436989853,0.1667450025735385,-0.005364928847375386
0.06645196283834111,0.05267768333801591,0.10425615323376548,0.08358825668074336,0.26240784334701,0.07355873572011318,-0.13327282253204556,-0.05357407573424554,-0.004371110071465671,0.16222716407469087,-0.01269130683947762
0.018688391232457663,0.01716081852907681,0.07413902578831322,-0.08571855034895334,-0.15545175531093405,0.0036838204689522837,-0.1682681734922172,0.1132479127061943,-0.043815197934717026,-0.07522688831575115,-0.08886616877774935
