Method,AverageAridityIndex,BulkDensity,Longitude,AnnualPrecipitation,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,MeanDiurnalRange,MeanTemperatureofWarmestQuarter,SoilTypeWRB
0.0378339759952319,-0.0059268846979402,0.21180235524385221,0.052646555921221985,0.012692494381247473,-0.13628500204460137,0.015706399816807104,0.21022817638719268,-0.04593046434529842,0.03879301043534902
0.011973650552944975,-0.0037900643555567664,0.19820821189554647,0.04823202526089223,-0.00035625211014003646,-0.13712088725601906,0.019758226653256276,0.211037749677863,-0.04431981155104148,0.003746492896294789
0.0029516913582478175,-0.007601605676851455,0.08633599615611927,0.04845561511834913,-0.0018108025258565408,-0.13102214135873025,0.01795180451024691,0.21139501457361148,-0.07377758076184475,-0.11598711182715928
0.06622937902501415,-0.021151589645012132,0.11303593688497739,0.0657665052797783,-0.02095349568672512,0.26916939331693,0.004365168343086943,-0.047234745704542634,0.04732272751889592,0.020990307451780724
0.0225950907521405,-0.021062145253694927,0.052039700756579495,0.04501238892158713,-0.014322886719737402,0.26950415025748586,0.0157337965387966,-0.04716912431787606,0.0315085541624214,-0.08263637244889846
-0.0030439847766350293,-0.02087088057753323,-0.005424824736826813,0.04501238892158713,-0.012083496263811479,0.2670754672013477,-0.00014255879551731268,-0.04716912431787606,0.03195244495825039,0.022058931831647834
-0.004241490847640247,-0.02087088057753323,-0.005424824736826813,0.04501238892158713,-0.012083496263811479,0.26887338799260263,-0.0007429735157670565,-0.04716912431787606,0.03195244495825039,0.022058931831647834
-0.004306297022481266,-0.021062145253694927,-0.006630944961405181,0.04501238892158713,-0.014322886719737402,0.26950415025748586,0.0157337965387966,-0.04716912431787606,0.0315085541624214,-0.08263637244889846
-0.0030439847766350293,-0.02087088057753323,-0.005424824736826813,0.04501238892158713,-0.012083496263811479,0.2670754672013477,0.0018831007038171248,-0.04716912431787606,0.03195244495825039,0.019610213562664038
-0.004306297022481266,-0.021062145253694927,-0.006630944961405181,0.04501238892158713,-0.014322886719737402,0.26950415025748586,0.0157337965387966,-0.04716912431787606,0.0315085541624214,-0.08263637244889846
0.0019293952255412838,-0.021062145253694927,-0.006138345642613664,0.04501238892158713,-0.014322886719737402,0.269936830329936,0.018237553964679794,-0.04716912431787606,0.0315085541624214,-0.08285879803238672
0.0006285247609463985,-0.021062145253694927,-0.004929018507569664,0.04501238892158713,-0.014322886719737402,0.269936830329936,0.018330563908522262,-0.04716912431787606,0.0315085541624214,-0.08254594023991911
0.011263323575017846,-0.019051447953964046,-0.004114843638545697,0.04501238892158713,-0.014322886719737402,0.27081324773234183,0.021489846486389155,-0.04716912431787606,0.0315085541624214,-0.08254594023991911
0.09256539451707123,0.18161848194103666,-0.06759339130362423,0.09868428892788575,0.08471345732070332,0.25097447055916405,0.10534222547395507,-0.13339166267904795,-0.01854878488153441,0.03875518285523015
0.07186182459797587,0.1815611603589063,-0.032864129078213296,0.09482789933621562,0.08124288050777849,0.25751281321767344,0.08805474539157986,-0.1324361680018137,-0.0031190294227460454,-0.07871605393601222
