AnnualMeanTemperature,PrecipitationofWarmestQuarter,MeanDiurnalRange,Longitude,MeanTemperatureofWarmestQuarter,ContainsCereals,MeanTemperatureofWettestQuarter,BulkDensity,Isothermality,SoilOrganicCarbon,CropClass
0.035059052143813954,0.08671475535199111,-0.13299606824592197,0.0629425877031408,0.09398182487790382,-0.1632844298730914,0.04396760111964112,0.09363204453436004,-0.06593251566135383,0.05333931383696947,0.08263404058224631
0.045978404703666056,0.09206032214695371,-0.1511724555858431,0.07229820075646132,0.09110215874825138,0.08881478729921839,0.04760542282425035,0.08588274415062344,-0.084642740142438,0.04271167999408042,0.015982088203867314
0.033846880588988035,0.08373071083090844,-0.1365391064412435,0.0629425877031408,0.07341848823417522,-0.17525498525368338,0.041447356972652574,0.08922046765674126,-0.06664741448890235,0.053297610624113305,0.011154109211333484
-0.05150477872832793,0.097895504450449,0.04002268034377002,0.1354525941397295,-0.02332768177532404,0.17571870660650948,0.06295734926909287,0.0033856227333271694,-0.05553614097846168,0.1853423358425358,0.032781470615506944
-0.06447075927681406,0.09202805331991136,0.0241204909402664,0.1355463295142486,-0.0261325490196305,0.1609303324944679,0.0650262613058037,-0.13847885506387472,-0.0601841904679247,0.17941026785159694,-0.01737460513216064
-0.06447075927681406,0.09202805331991136,0.0241204909402664,0.1355463295142486,-0.0261325490196305,0.1609303324944679,0.0650262613058037,-0.13847885506387472,-0.0601841904679247,0.17941026785159694,-0.01737460513216064
-0.06447075927681406,0.09202805331991136,0.0241204909402664,0.1355463295142486,-0.0261325490196305,0.1609303324944679,0.0650262613058037,-0.13847885506387472,-0.0601841904679247,0.17941026785159694,-0.01737460513216064
-0.06295638843942974,0.09697648619282422,0.02440812397722953,0.1355463295142486,-0.025032035660803288,0.1688248517362242,0.0650262613058037,-0.08575481489748506,-0.05790230805064294,0.17896682775443895,-0.01391667086347932
-0.04947991856832193,0.0977743042746737,0.02508263579034956,0.14281288081714177,-0.025032035660803288,0.1776796544718551,0.06611043448089951,-0.012722968710287729,-0.058846193778972856,0.1808592937329776,-0.01391667086347932
-0.0502770048031755,0.0977743042746737,0.03262951992612048,0.1446610702303892,-0.02217801084338965,0.17554319581304406,0.067416656440478,0.030577019290664444,-0.05854090443743262,0.18719366896800904,-0.011744356628661261
