SoilTypeWRB,BulkDensity,Longitude,AnnualPrecipitation,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,MeanDiurnalRange,SoilTextureUSDA,Method,MeanTemperatureofWarmestQuarter,PrecipitationofDriestQuarter,AverageAridityIndex,PrecipitationofColdestQuarter,SiltContent
1.0769309068580473,0.82,-106.0,397.0,-12.43333339691162,0.059,11.90833377838135,1.0769309068580473,1.0769309068580473,17.08333396911621,45.0,0.0413,45.0,0.38
1.263494426369371,0.81,-106.0,397.0,-12.43333339691162,0.052,11.90833377838135,1.263494426369371,1.263494426369371,17.08333396911621,45.0,0.0413,45.0,0.39
1.309775818448892,1.11,-106.0,397.0,-12.43333339691162,0.036,11.90833377838135,1.309775818448892,1.309775818448892,17.08333396911621,45.0,0.0413,45.0,0.34
1.0769309068580473,1.3450799999999998,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.0769309068580473,1.0769309068580473,22.26666641235352,32.0,0.0458,289.0,0.279
1.3402531096504118,1.3259018092900001,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.3402531096504118,1.3402531096504118,22.26666641235352,32.0,0.0458,289.0,0.279
1.3747416719375745,1.28626779952,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.3747416719375745,1.3747416719375745,22.26666641235352,32.0,0.0458,289.0,0.279
1.3732358442201824,1.28696779952,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.3732358442201824,1.3732358442201824,22.26666641235352,32.0,0.0458,289.0,0.279
1.3538083476480958,1.2718795354599997,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.3538083476480958,1.3538083476480958,22.26666641235352,32.0,0.0458,289.0,0.279
1.3722189643174862,1.2744399999999994,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.3722189643174862,1.3722189643174862,22.26666641235352,32.0,0.0458,289.0,0.279
1.3374457164238056,1.2743099999999994,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.3374457164238056,1.3374457164238056,22.26666641235352,32.0,0.0458,289.0,0.279
1.3042346545868992,1.2736495354599997,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.3042346545868992,1.3042346545868992,22.26666641235352,32.0,0.0458,289.0,0.279
1.294999741347278,1.2677795354599999,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.294999741347278,1.294999741347278,22.26666641235352,32.0,0.0458,289.0,0.279
