Method,Longitude,AnnualPrecipitation,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,MeanDiurnalRange,BulkDensity,SoilTypeWRB,MeanTemperatureofWarmestQuarter
0.9321215927452601,-106.0,397.0,-12.43333339691162,0.059,11.90833377838135,0.82,0.9321215927452601,17.08333396911621
1.1023832406686214,-106.0,397.0,-12.43333339691162,0.052,11.90833377838135,0.81,1.1023832406686214,17.08333396911621
1.1403154586214737,-106.0,397.0,-12.43333339691162,0.036,11.90833377838135,1.11,1.1403154586214737,17.08333396911621
0.9321215927452601,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.3377029095399993,0.9321215927452601,22.26666641235352
1.1885122998140585,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.2954920537899997,1.1885122998140585,22.26666641235352
1.2360994660206404,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.2878420537899995,1.2360994660206404,22.26666641235352
1.242080037388874,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.2839420537899997,1.242080037388874,22.26666641235352
1.2139008124709394,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.2842420537899997,1.2139008124709394,22.26666641235352
1.2208547407790495,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.2847720537899996,1.2208547407790495,22.26666641235352
1.1889641486076463,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.2820420537899997,1.1889641486076463,22.26666641235352
1.1569780200283573,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.2819303667499997,1.1569780200283573,22.26666641235352
1.1495287699765444,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.28125036675,1.1495287699765444,22.26666641235352
1.1391231342766361,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,1.2804603667499999,1.1391231342766361,22.26666641235352
0.9321215927452601,-1.0,303.0,25.26666641235352,0.0062209,11.35833358764648,1.42,0.9321215927452601,25.45000076293945
1.1590342777751406,-1.0,303.0,25.26666641235352,0.0062209,11.35833358764648,1.36,1.1590342777751406,25.45000076293945
1.1640989963046287,1.8,621.0,6.666666507720947,0.010291,8.716666221618652,1.2385809779899994,0.9321215927452601,17.68333435058594
1.0954783381994024,1.8,621.0,6.666666507720947,0.010872,8.716666221618652,1.2668142298299994,0.6363863458935879,17.68333435058594
