PrecipitationofDriestQuarter,BulkDensity,AverageAridityIndex,AnnualPrecipitation,SiltContent,Longitude,Season_sin,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,MeanDiurnalRange,SoilTypeWRB,MeanTemperatureofWarmestQuarter,PrecipitationofColdestQuarter,Method
45.0,0.82,0.0413,397.0,0.38,-106.0,0.8660254037844387,-12.43333339691162,0.059,11.90833377838135,1.2621258000467888,17.08333396911621,45.0,1.2621258000467888
45.0,0.81,0.0413,397.0,0.39,-106.0,0.8660254037844387,-12.43333339691162,0.052,11.90833377838135,1.4811166903917603,17.08333396911621,45.0,1.4811166903917603
45.0,1.11,0.0413,397.0,0.34,-106.0,0.8660254037844387,-12.43333339691162,0.036,11.90833377838135,1.542316004894806,17.08333396911621,45.0,1.542316004894806
32.0,1.3362275305599995,0.0458,692.0,0.279,-8.5,0.0,21.98333358764648,0.073256,10.00833320617676,1.2621258000467888,22.26666641235352,289.0,1.2621258000467888
32.0,1.3089546210399996,0.0458,692.0,0.279,-8.5,0.0,21.98333358764648,0.073256,10.00833320617676,1.544668483151566,22.26666641235352,289.0,1.544668483151566
32.0,1.25490471883,0.0458,692.0,0.279,-8.5,0.8660254037844387,21.98333358764648,0.073256,10.00833320617676,1.5638459544432528,22.26666641235352,289.0,1.5638459544432528
32.0,1.25650471883,0.0458,692.0,0.279,-8.5,0.8660254037844387,21.98333358764648,0.073256,10.00833320617676,1.553363917154949,22.26666641235352,289.0,1.553363917154949
32.0,1.25188491443,0.0458,692.0,0.279,-8.5,0.8660254037844387,21.98333358764648,0.073256,10.00833320617676,1.5472163335679203,22.26666641235352,289.0,1.5472163335679203
32.0,1.2293767481699998,0.0458,692.0,0.279,-8.5,0.0,21.98333358764648,0.073256,10.00833320617676,1.5824043643002728,22.26666641235352,289.0,1.5824043643002728
32.0,1.2291867481699998,0.0458,692.0,0.279,-8.5,0.0,21.98333358764648,0.073256,10.00833320617676,1.5440183286747309,22.26666641235352,289.0,1.5440183286747309
32.0,1.24707674817,0.0458,692.0,0.279,-8.5,0.8660254037844387,21.98333358764648,0.073256,10.00833320617676,1.5094183428268466,22.26666641235352,289.0,1.5094183428268466
32.0,1.25338674817,0.0458,692.0,0.279,-8.5,0.8660254037844387,21.98333358764648,0.073256,10.00833320617676,1.4979292299438827,22.26666641235352,289.0,1.4979292299438827
32.0,1.2502867481699997,0.0458,692.0,0.279,-8.5,0.8660254037844387,21.98333358764648,0.073256,10.00833320617676,1.4906133342662393,22.26666641235352,289.0,1.4906133342662393
31.0,1.42,0.0177,303.0,0.4292,-1.0,-0.01732050807568883,25.26666641235352,0.0062209,11.35833358764648,1.2621258000467888,25.45000076293945,73.0,1.2621258000467888
31.0,1.36,0.0177,303.0,0.4292,-1.0,-0.00866025403784445,25.26666641235352,0.0062209,11.35833358764648,1.5407779743449135,25.45000076293945,73.0,1.5407779743449135
140.0,1.2393033985299995,0.0648,621.0,0.783,1.8,-2.449293598294706e-16,6.666666507720947,0.010291,8.716666221618652,1.2621258000467888,17.68333435058594,155.0,1.5394629242154132
140.0,1.2596636185799996,0.0648,621.0,0.746,1.8,-2.449293598294706e-16,6.666666507720947,0.010872,8.716666221618652,1.1280059822845678,17.68333435058594,155.0,1.493998194240991
140.0,1.284245158919999,0.0648,621.0,0.663,1.8,-2.449293598294706e-16,6.666666507720947,0.010814,8.716666221618652,1.0737404293438404,17.68333435058594,155.0,1.4533221272580217
140.0,1.3339213447399991,0.0648,621.0,0.783,1.8,0.0,6.666666507720947,0.010291,8.716666221618652,0.9410521141130801,17.68333435058594,155.0,1.3882982016267913
140.0,1.3614413447399993,0.0648,621.0,0.783,1.8,-0.8660254037844385,6.666666507720947,0.010291,8.716666221618652,0.9590302538140122,17.68333435058594,155.0,1.364474509026188
140.0,1.36255134474,0.0648,621.0,0.468,1.8,0.0,6.666666507720947,0.0057,8.716666221618652,0.9186240029800495,17.68333435058594,155.0,1.323981899012691
