Method,AverageAridityIndex,BulkDensity,Longitude,AnnualPrecipitation,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,MeanDiurnalRange,SoilTypeWRB
0.03132024513895084,-0.0010289801662710077,0.21045471997236345,0.06729714603643497,0.015676612504322385,-0.1501726939194747,-0.0020601317131383424,0.1674234491584631,0.05532535247309304
0.023504430485077346,-0.004810589113475859,0.19834031550481734,0.05807651020025408,0.0016677774942375886,-0.14787312513038572,-0.003446002760847275,0.16549679199748554,-0.0047488682966541915
0.0031971579740188794,-0.019991750355617285,0.044597071549772674,0.04670241714131516,-0.01607876107687831,-0.14079643787186757,0.005497662453809992,0.14826252104021978,-0.08901708807709117
0.028022562338273015,-0.00722822082552339,0.10157336259328646,0.05978418776680331,0.01685313569982071,0.2559213609672348,0.010394202930310847,-0.05678656294553162,0.0522745881268401
-0.026416812476358038,-0.020019680838459755,0.044834166862787406,0.034183403881775744,0.02350855664198628,0.2432397793022323,0.0036413194157784846,-0.0617923686150604,-0.014841879762873744
-0.013994046253033156,-0.02030156628754679,0.0018433657375309862,0.038935161623398114,0.024758264301309636,0.24648332650940022,0.0015912917713168141,-0.06434930409625632,0.06292245806367908
-0.013994046253033156,-0.02030156628754679,0.0018433657375309862,0.038935161623398114,0.024758264301309636,0.24648332650940022,0.0015912917713168141,-0.06434930409625632,0.06292245806367908
-0.016626840529046442,-0.02030156628754679,0.0018433657375309862,0.038935161623398114,0.021238222770288532,0.2432397793022323,0.0015912917713168141,-0.06251340162634086,-0.009517363134902467
-0.014465732268576585,-0.02030156628754679,0.0018433657375309862,0.038935161623398114,0.024758264301309636,0.24648332650940022,0.0015912917713168141,-0.06434930409625632,0.04023183412150224
-0.0444400063765488,-0.02086879716795712,-0.0002129357967383218,0.034183403881775744,0.021238222770288532,0.2432397793022323,0.0034243891450284883,-0.06251340162634086,-0.015559952075047423
-0.03962018492509709,-0.02086879716795712,-0.0002129357967383218,0.034183403881775744,0.021238222770288532,0.2435940879683481,0.006578367716028897,-0.06251340162634086,-0.015559952075047423
-0.02715366050356138,-0.02350876875622065,0.002337129638364544,0.036043699395863604,0.023949221810499573,0.2435940879683481,0.006578367716028897,-0.06251340162634086,-0.015470045921886747
-0.006160791407482514,-0.020289726586013943,0.003903404411605785,0.036043699395863604,0.025886904708362444,0.24480412077689945,0.015722506592363593,-0.06251340162634086,-0.013656314301636397
0.05821904562557988,0.1644034018842445,-0.08123065595183425,0.09058108257858527,0.0923649950888538,0.18913638467281682,0.11050889169813534,-0.16403294336292676,0.03598410268244666
0.028843036395656503,0.15976569293986267,0.06860357643771059,0.07283739542373567,0.0922616408669323,0.26669088961008475,0.09233691458728581,-0.13818877366098875,-0.026241943760058367
-0.044508811916735495,-0.06858614745213015,0.020998083656664692,0.0745686577947495,-0.12878000321944852,-0.11363381967875284,-0.048727104347608075,-0.1739740864270755,0.05966525943608815
-0.013329088908775506,-0.07470431128293029,-0.021395602058960163,0.08082936780724684,-0.11432828542017966,-0.11765883919341708,-0.05863574703793619,-0.18619060228751877,-0.03254435573373114
-0.002676983079453792,-0.07470431128293029,-0.04535151592583826,0.08292722410433395,-0.11190288424736537,-0.12107760220355486,-0.06886802058417968,-0.19315059079879723,-0.08365050833967319
