AnnualMeanTemperature,PrecipitationofWarmestQuarter,MeanDiurnalRange,Longitude,MeanTemperatureofWarmestQuarter,ContainsCereals,MeanTemperatureofWettestQuarter,BulkDensity,Isothermality,SoilOrganicCarbon,CropClass
2.020833253860474,179.0,11.90833377838135,-106.0,17.08333396911621,1.665302365136365,15.13333320617676,0.82,25.33687973022461,0.059,1.6189172191961658
2.020833253860474,179.0,11.90833377838135,-106.0,17.08333396911621,1.8402176361982354,15.13333320617676,0.81,25.33687973022461,0.052,1.7644580277668585
2.020833253860474,179.0,11.90833377838135,-106.0,17.08333396911621,1.665302365136365,15.13333320617676,1.11,25.33687973022461,0.036,1.665302365136365
16.46249961853027,39.0,10.00833320617676,-8.5,22.26666641235352,1.9106698437411629,11.85000038146973,1.3916599999999995,43.70451354980469,0.073256,1.665302365136365
16.46249961853027,39.0,10.00833320617676,-8.5,22.26666641235352,1.9853822087682889,11.85000038146973,1.5037999999999994,43.70451354980469,0.073256,1.9374108344930159
16.46249961853027,39.0,10.00833320617676,-8.5,22.26666641235352,1.9629313911711581,11.85000038146973,1.5048599999999996,43.70451354980469,0.073256,1.9159832632562226
16.46249961853027,39.0,10.00833320617676,-8.5,22.26666641235352,1.9652465060787774,11.85000038146973,1.5231699999999992,43.70451354980469,0.073256,1.9311929675963853
16.46249961853027,39.0,10.00833320617676,-8.5,22.26666641235352,2.006590767373027,11.85000038146973,1.4192999999999998,43.70451354980469,0.073256,1.9958856411048127
16.46249961853027,39.0,10.00833320617676,-8.5,22.26666641235352,2.0078957756697067,11.85000038146973,1.3976899999999992,43.70451354980469,0.073256,1.9994098398784212
16.46249961853027,39.0,10.00833320617676,-8.5,22.26666641235352,2.0474298034352416,11.85000038146973,1.3862199999999993,43.70451354980469,0.073256,2.051451580690007
16.46249961853027,39.0,10.00833320617676,-8.5,22.26666641235352,2.0804086666924793,11.85000038146973,1.3940799999999993,43.70451354980469,0.073256,2.0921724376047086
16.46249961853027,39.0,10.00833320617676,-8.5,22.26666641235352,2.0977461143064833,11.85000038146973,1.3877799999999993,43.70451354980469,0.073256,2.1120555656982436
16.46249961853027,39.0,10.00833320617676,-8.5,22.26666641235352,2.115056637784577,11.85000038146973,1.3889799999999994,43.70451354980469,0.073256,2.13139724873278
17.8791675567627,41.0,11.35833358764648,-1.0,25.45000076293945,2.1083568059324675,19.0,1.42,41.60561370849609,0.0062209,1.665302365136365
17.8791675567627,41.0,11.35833358764648,-1.0,25.45000076293945,2.094978969749863,19.0,1.36,41.60561370849609,0.0062209,1.7931847322561834
10.57499980926514,147.0,8.716666221618652,1.8,17.68333435058594,2.082127935552776,15.76666641235352,1.3871290953600002,35.87105560302734,0.010291,1.9375056455543955
