Method,BulkDensity,Longitude,AnnualPrecipitation,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,MeanDiurnalRange,PrecipitationofDriestQuarter,AverageAridityIndex,SoilTextureUSDA,MeanTemperatureofWarmestQuarter,PrecipitationofColdestQuarter,SoilTypeWRB
1.0769309068580473,0.82,-106.0,397.0,-12.43333339691162,0.059,11.90833377838135,45.0,0.0413,1.0769309068580473,17.08333396911621,45.0,1.0769309068580473
1.263494426369371,0.81,-106.0,397.0,-12.43333339691162,0.052,11.90833377838135,45.0,0.0413,1.263494426369371,17.08333396911621,45.0,1.263494426369371
1.309775818448892,1.11,-106.0,397.0,-12.43333339691162,0.036,11.90833377838135,45.0,0.0413,1.309775818448892,17.08333396911621,45.0,1.309775818448892
1.0769309068580473,1.3450799999999998,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,32.0,0.0458,1.0769309068580473,22.26666641235352,289.0,1.0769309068580473
1.3402531096504118,1.3259018092900001,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,32.0,0.0458,1.3402531096504118,22.26666641235352,289.0,1.3402531096504118
1.3747416719375745,1.28626779952,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,32.0,0.0458,1.3747416719375745,22.26666641235352,289.0,1.3747416719375745
1.3732358442201824,1.28696779952,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,32.0,0.0458,1.3732358442201824,22.26666641235352,289.0,1.3732358442201824
1.3538083476480958,1.2718795354599997,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,32.0,0.0458,1.3538083476480958,22.26666641235352,289.0,1.3538083476480958
1.3722189643174862,1.2744399999999994,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,32.0,0.0458,1.3722189643174862,22.26666641235352,289.0,1.3722189643174862
1.3374457164238056,1.2743099999999994,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,32.0,0.0458,1.3374457164238056,22.26666641235352,289.0,1.3374457164238056
1.3042346545868992,1.2736495354599997,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,32.0,0.0458,1.3042346545868992,22.26666641235352,289.0,1.3042346545868992
1.294999741347278,1.2677795354599999,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,32.0,0.0458,1.294999741347278,22.26666641235352,289.0,1.294999741347278
1.2857892847454286,1.2699795354599996,-8.5,692.0,21.98333358764648,0.073256,10.00833320617676,32.0,0.0458,1.2857892847454286,22.26666641235352,289.0,1.2857892847454286
1.0769309068580473,1.42,-1.0,303.0,25.26666641235352,0.0062209,11.35833358764648,31.0,0.0177,1.2364408072030288,25.45000076293945,73.0,1.0769309068580473
1.3213948503848683,1.36,-1.0,303.0,25.26666641235352,0.0062209,11.35833358764648,31.0,0.0177,1.3023244045447608,25.45000076293945,73.0,1.3213948503848683
1.3206023183726208,1.27225819072,1.8,621.0,6.666666507720947,0.010291,8.716666221618652,140.0,0.0648,1.0769309068580473,17.68333435058594,155.0,1.0769309068580473
1.2615328014700768,1.2932243276300002,1.8,621.0,6.666666507720947,0.010872,8.716666221618652,140.0,0.0648,0.8443495112000705,17.68333435058594,155.0,0.8443495112000705
1.214492273541808,1.3161676528100004,1.8,621.0,6.666666507720947,0.010814,8.716666221618652,140.0,0.0648,1.0769309068580473,17.68333435058594,155.0,0.7795683202675748
1.1452708949731563,1.3834,1.8,621.0,6.666666507720947,0.010291,8.716666221618652,140.0,0.0648,0.7795683202675748,17.68333435058594,155.0,0.6460244835958511
1.1134658234656674,1.4413900000000002,1.8,621.0,6.666666507720947,0.010291,8.716666221618652,140.0,0.0648,0.7517249457908876,17.68333435058594,155.0,0.6504585513488459
1.0703917851024194,1.3820700000000006,1.8,621.0,6.666666507720947,0.0057,8.716666221618652,140.0,0.0648,1.3603716098546845,17.68333435058594,155.0,0.6127623277329889
1.0606983760490698,1.4211100000000005,1.8,621.0,6.666666507720947,0.0057,8.716666221618652,140.0,0.0648,1.29540478433194,17.68333435058594,155.0,0.6545968282276294
1.0769309068580473,1.18,-102.0,470.0,3.116666555404663,0.01,16.29999923706055,36.0,0.0216,0.6611619402193633,24.39999961853027,36.0,1.0769309068580473
1.429780762637125,1.25,-102.0,470.0,3.116666555404663,0.013,16.29999923706055,36.0,0.0216,1.0349848329516433,24.39999961853027,36.0,1.429780762637125
1.4279883371952653,1.17,-102.0,470.0,3.116666555404663,0.0225,16.29999923706055,36.0,0.0216,1.1323394962916185,24.39999961853027,36.0,1.4279883371952653
1.4051996095283148,1.18,-102.0,470.0,3.116666555404663,0.01,16.29999923706055,36.0,0.0216,1.173238282338788,24.39999961853027,36.0,1.4051996095283148
1.4028066533645167,1.25,-102.0,470.0,3.116666555404663,0.013,16.29999923706055,36.0,0.0216,1.2099043734005437,24.39999961853027,36.0,1.4028066533645167
1.358882830274302,1.17,-102.0,470.0,3.116666555404663,0.0225,16.29999923706055,36.0,0.0216,1.1998128507466412,24.39999961853027,36.0,1.358882830274302
1.3319905077672618,1.18,-102.0,470.0,3.116666555404663,0.01,16.29999923706055,36.0,0.0216,1.196165815993939,24.39999961853027,36.0,1.3319905077672618
