SoilTypeWRB,Method,BulkDensity,AnnualPrecipitation,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,MeanDiurnalRange,Longitude,AverageAridityIndex
0.04254324163210069,0.018218786270642866,0.16320814683815169,0.00396408301443078,-0.14745980943525977,0.027166585184344068,0.2023938798600845,0.057927642006065413,-0.00922888619570231
0.04345568026204715,-0.016405435691639995,0.1545149977126519,-0.003518052747937012,-0.14734012333022925,0.01734235063286008,0.20131260242471116,0.0488418137335638,-0.009072266059559443
-0.0823820444300024,-0.025897370952780097,0.051055571339303434,-0.010772298125215043,-0.14171331544775614,0.015213755277711244,0.2002810771558813,0.0415977868779004,-0.014802503478704527
0.032029553184403904,0.02506108890218155,0.10923831553181138,0.019091257396853974,0.2651116831733733,0.036433142920954495,-0.03315126433977544,0.06323375475922464,-0.014604969129921767
-0.03420103263132677,-0.00882510742503841,0.05239296569643978,0.018638030773080867,0.25961508373960035,0.022420447164430955,-0.03493548619129456,0.03459067816198627,-0.021988470740296466
0.03455790508777735,-0.036471169914486234,-0.009246642370079147,0.01886009162512815,0.25961508373960035,0.00829653890632866,-0.03493548619129456,0.03459067816198627,-0.021762976189406077
0.03455790508777735,-0.036471169914486234,-0.009246642370079147,0.01886009162512815,0.25961508373960035,0.00829653890632866,-0.03493548619129456,0.03459067816198627,-0.021762976189406077
-0.03420103263132677,-0.03708780981361693,-0.009246642370079147,0.018638030773080867,0.25961508373960035,0.022420447164430955,-0.03493548619129456,0.03459067816198627,-0.021988470740296466
0.03455790508777735,-0.036471169914486234,-0.009246642370079147,0.01886009162512815,0.25961508373960035,0.00829653890632866,-0.03493548619129456,0.03459067816198627,-0.021762976189406077
-0.03420103263132677,-0.03708780981361693,-0.009246642370079147,0.018638030773080867,0.25961508373960035,0.022420447164430955,-0.03493548619129456,0.03459067816198627,-0.021988470740296466
-0.04793825234003833,-0.03396944138520563,-0.010005321557796078,0.021394879353963447,0.2599919435242669,0.02500279854868692,-0.03493548619129456,0.03459067816198627,-0.023642710708223574
-0.04793825234003833,-0.03396944138520563,-0.010005321557796078,0.021394879353963447,0.2599919435242669,0.02500279854868692,-0.03493548619129456,0.03459067816198627,-0.023642710708223574
-0.04793825234003833,-0.03396944138520563,-0.010005321557796078,0.021394879353963447,0.2599919435242669,0.02500279854868692,-0.03493548619129456,0.03459067816198627,-0.023642710708223574
0.03437583857220539,0.06571660315722332,-0.06803092469541293,0.08891007216988114,0.21951524243259704,0.09694225424251324,-0.14262611321184748,0.10101621042443139,0.20037206182591605
-0.05559247706700136,0.05645079600295475,-0.0381996769966383,0.0947103719986387,0.22544686722674653,0.08191937507458118,-0.13842140299925962,0.08779857045866833,0.1969760866162563
