MeanDiurnalRange,MeanTemperatureofWettestQuarter,Isothermality,BulkDensity,AnnualMeanTemperature,Longitude,SoilTypeWRB,CropClass,ContainsCereals
11.90833377838135,15.13333320617676,25.33687973022461,0.82,2.020833253860474,-106.0,1.665302365136365,1.6189172191961658,1.665302365136365
11.90833377838135,15.13333320617676,25.33687973022461,0.81,2.020833253860474,-106.0,1.8402176361982354,1.7644580277668585,1.8402176361982354
11.90833377838135,15.13333320617676,25.33687973022461,1.11,2.020833253860474,-106.0,1.9106698437411629,1.665302365136365,1.665302365136365
10.00833320617676,11.85000038146973,43.70451354980469,1.3916599999999995,16.46249961853027,-8.5,1.665302365136365,1.665302365136365,1.9106698437411629
10.00833320617676,11.85000038146973,43.70451354980469,1.5037999999999994,16.46249961853027,-8.5,1.9374108344930159,1.9374108344930159,1.9853822087682889
10.00833320617676,11.85000038146973,43.70451354980469,1.5048599999999996,16.46249961853027,-8.5,1.9159832632562226,1.9159832632562226,1.9629313911711581
10.00833320617676,11.85000038146973,43.70451354980469,1.5231699999999992,16.46249961853027,-8.5,1.9311929675963853,1.9311929675963853,1.9652465060787774
10.00833320617676,11.85000038146973,43.70451354980469,1.4192999999999998,16.46249961853027,-8.5,1.9958856411048127,1.9958856411048127,2.006590767373027
10.00833320617676,11.85000038146973,43.70451354980469,1.3976899999999992,16.46249961853027,-8.5,1.9994098398784212,1.9994098398784212,2.0078957756697067
10.00833320617676,11.85000038146973,43.70451354980469,1.3862199999999993,16.46249961853027,-8.5,2.051451580690007,2.051451580690007,2.0474298034352416
10.00833320617676,11.85000038146973,43.70451354980469,1.3940799999999993,16.46249961853027,-8.5,2.0921724376047086,2.0921724376047086,2.0804086666924793
10.00833320617676,11.85000038146973,43.70451354980469,1.3877799999999993,16.46249961853027,-8.5,2.1120555656982436,2.1120555656982436,2.0977461143064833
10.00833320617676,11.85000038146973,43.70451354980469,1.3889799999999994,16.46249961853027,-8.5,2.13139724873278,2.13139724873278,2.115056637784577
11.35833358764648,19.0,41.60561370849609,1.42,17.8791675567627,-1.0,1.665302365136365,1.665302365136365,2.1083568059324675
11.35833358764648,19.0,41.60561370849609,1.36,17.8791675567627,-1.0,1.7931847322561834,1.7931847322561834,2.094978969749863
8.716666221618652,15.76666641235352,35.87105560302734,1.3871290953600002,10.57499980926514,1.8,1.665302365136365,1.9375056455543955,2.082127935552776
8.716666221618652,15.76666641235352,35.87105560302734,1.3986586308099993,10.57499980926514,1.8,2.087976694617229,2.0873114974567097,2.108910628586858
8.716666221618652,15.76666641235352,35.87105560302734,1.3564272616199997,10.57499980926514,1.8,2.1257453507722657,2.074456426035286,2.1143442776748276
