ContainsCereals,MeanDiurnalRange,BulkDensity,AnnualMeanTemperature,Longitude,PrecipitationofWarmestQuarter,Isothermality,SoilOrganicCarbon,MeanTemperatureofWettestQuarter,PrecipitationofWettestMonth
-0.14413855341803405,-0.20121651446368374,0.3304014798206718,-0.028336607748909268,0.08173806975054917,0.027463452460251586,0.02954633657543839,0.14986892349971007,0.028798373625980127,0.00660807833438579
0.03970710926427143,-0.20509906890207855,0.2499506186144234,-0.02384542043793974,0.06617000707436967,0.03191560139137417,0.03690323255928492,0.13013580608346148,0.03869176854030087,0.027073235068742867
-0.21211056732633907,-0.2270654294082009,0.07402351207795703,-0.03779928532050359,0.05573155253007195,0.03055150225896311,0.023361876232907,0.10798391128670849,0.02993314146426039,0.009831203511332631
0.16416571543219596,-0.056183134621803514,-0.02798131289117001,0.03985617083084534,0.09614588785103802,0.08715795883203879,-0.05999912291267715,0.21623517349293053,0.07307079410828823,0.02845983167083393
0.13239300092400658,-0.05045958166983369,-0.19649138431448224,0.03638669608138433,0.09171003716199996,0.07320393478688512,-0.0631653417949406,0.21167480197482796,0.06349163668968884,0.025914421202588474
0.13300834713317747,-0.05035618939643725,-0.1964209152411363,0.03557914844153162,0.09171003716199996,0.07320393478688512,-0.0631653417949406,0.21167480197482796,0.0635099767736283,0.025914421202588474
0.13239300092400658,-0.05045958166983369,-0.19649138431448224,0.03638669608138433,0.09171003716199996,0.07320393478688512,-0.0631653417949406,0.21167480197482796,0.06349163668968884,0.025914421202588474
0.14455207619214386,-0.05564083160720614,-0.049360617198074906,0.040720704472875145,0.09412003753402952,0.08697390131266812,-0.05832963051278283,0.21868919057441663,0.07257814742912956,0.025817967851341366
0.15634807140893897,-0.05820262612209519,-0.0483966228847121,0.04027277578070373,0.09522713228986777,0.08823387129260302,-0.05612357164087486,0.22408076481020126,0.07394053636061684,0.025817967851341366
0.15976756599094727,-0.0553672864434116,-0.004229256879207856,0.04027277578070373,0.09669372414933675,0.08891828048726243,-0.05464990247810011,0.2187808656041999,0.0726234825017056,0.028375664504801414
0.159577419917389,-0.05628652689519996,-0.022477319085538027,0.04027277578070373,0.09614588785103802,0.0888387232735894,-0.05439807556686654,0.21438806954298253,0.07394053636061684,0.029405741709537758
